model,hidden_dim,trainable_parameters,mean,std,min,max,seed_0,seed_1,seed_2,seed_3,seed_42
concat,512,576100,0.52398,0.00276,0.52126,0.52722,0.5223,0.5267,0.52722,0.52126,0.52243
product_576k,351,574687,0.53355,0.00312,0.53059,0.53721,0.53072,0.5328,0.53721,0.53643,0.53059
difference_576k,351,574687,0.53342,0.00107,0.53202,0.535,0.53306,0.53202,0.53345,0.535,0.53358
fusion_narrow,268,576032,0.53342,0.00139,0.53202,0.53552,0.53228,0.5337,0.53552,0.53202,0.53358
product_natural,512,838244,0.53671,0.00101,0.53539,0.53811,0.53539,0.53721,0.53643,0.53643,0.53811
difference_natural,512,838244,0.53399,0.00026,0.53358,0.53422,0.53358,0.53396,0.53396,0.53422,0.53422
fusion,512,1100388,0.5384,0.00218,0.53617,0.54083,0.53617,0.54083,0.54045,0.53811,0.53643
