slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
v2_02/concat/train_40k/steps:3/accuracy,v2_02,concat,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.50559,"[0.48805, 0.52312]",3330,658,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.steps-3.accuracy
v2_02/concat/train_40k/steps:4/accuracy,v2_02,concat,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.50460,"[0.47071, 0.53715]",870,396,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.steps-4.accuracy
v2_02/concat/train_40k/steps:>=5/accuracy,v2_02,concat,40k,program length,steps: at least 5,accuracy on the steps slice at least 5,v2_closed_vocab_top1_index_match,0.58402,"[0.55945, 0.60991]",1114,531,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.steps-ge5.accuracy
v2_02/concat/train_40k/steps:<=2/accuracy,v2_02,concat,40k,program length,steps: at most 2,accuracy on the steps slice at most 2,v2_closed_vocab_top1_index_match,0.52867,"[0.51247, 0.54586]",2400,674,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.steps-le2.accuracy
v2_02/fusion/train_40k/steps:3/accuracy,v2_02,fusion,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.50312,"[0.48459, 0.52153]",3330,658,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.steps-3.accuracy
v2_02/fusion/train_40k/steps:4/accuracy,v2_02,fusion,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.53425,"[0.50284, 0.56727]",870,396,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.steps-4.accuracy
v2_02/fusion/train_40k/steps:>=5/accuracy,v2_02,fusion,40k,program length,steps: at least 5,accuracy on the steps slice at least 5,v2_closed_vocab_top1_index_match,0.62334,"[0.59786, 0.64950]",1114,531,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.steps-ge5.accuracy
v2_02/fusion/train_40k/steps:<=2/accuracy,v2_02,fusion,40k,program length,steps: at most 2,accuracy on the steps slice at most 2,v2_closed_vocab_top1_index_match,0.54942,"[0.53239, 0.56697]",2400,674,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.steps-le2.accuracy
