system,answer view,supported accuracy,"raw accuracy (10,004)",warm median ms,spread ms,trainable parameters,total loaded parameters,frontier
Question only,"top-100 (7,714)",0.50402,0.38864,1.9603,0.0133,313956,151591269,excluded floor
Concat,"top-100 (7,714)",0.57661,0.44462,7.6104,0.9044,576100,151853413,yes
Fusion,"top-100 (7,714)",0.58439,0.45062,7.6351,0.8903,1100388,152377701,yes
Top-1000 product,"top-1000 (9,823)",0.49954,0.49050,7.6708,0.0966,1299944,152577257,yes
Latent reasoner,"top-100 (7,714)",0.59139,0.45602,9.1719,0.9211,21099620,172376933,no
CLIP-token A0p,"top-100 (7,714)",0.59463,0.45852,9.2117,0.1367,21362276,172639589,no
SigLIP fusion,"top-100 (7,714)",0.59386,0.45792,9.8433,0.0770,1624676,204780646,no
SmolLM2 A1,"top-100 (7,714)",0.57493,0.44332,20.1460,1.3302,21395044,307187365,no
