system,scale,seed set,per-seed accuracies,mean accuracy,seed SD,same-seed R-F gap,gap seed SD
reasoner,40k,"0, 1, 2",0: 0.54641; 1: 0.54058; 2: 0.53967,0.54222,0.00366,+0.00307,0.00622
fusion,40k,"0, 1, 2, 3, 42",0: 0.53617; 1: 0.54083; 2: 0.54045; 3: 0.53811; 42: 0.53643,0.53840,0.00218,,
reasoner,100k,"0, 1, 2",0: 0.57078; 1: 0.57065; 2: 0.57039,0.57061,0.00020,+0.00652,0.00094
fusion,100k,"0, 1, 2, 3, 42",0: 0.56365; 1: 0.56521; 2: 0.56339; 3: 0.55847; 42: 0.56469,0.56308,0.00268,,
reasoner,250k,"0, 1, 2",0: 0.59139; 1: 0.59165; 2: 0.60436,0.59580,0.00741,+0.01361,0.00870
fusion,250k,"0, 1, 2, 3, 42",0: 0.58439; 1: 0.58128; 2: 0.58089; 3: 0.58439; 42: 0.58037,0.58226,0.00197,,
