system,S1_read,S2_decode_preprocess,S3_image_h2d,S4_vision_tower,S5_tokenise,S6_token_h2d,S7_text_tower,S8_projection,S9_reasoner,S9_head,S10_decode,additive_sum,measured_median
question_only,,,,,0.0764,0.0166,1.8226,,,0.0366,0.0198,1.9719,1.9603
concat,0.0327,3.0412,0.0848,2.2337,0.1021,0.0232,2.1654,,,0.0578,0.0249,7.7581,7.6104
fusion,0.0325,3.0426,0.0856,2.2449,0.1025,0.0239,2.1747,,,0.0878,0.0263,7.8219,7.6351
vocab1000_product,0.0325,3.0701,0.0864,2.252,0.103,0.0233,2.1656,,,0.0646,0.0253,7.7998,7.6708
siglip_fusion,0.0293,2.6801,0.08,4.9889,0.1518,0.0238,2.154,,,0.0763,0.024,10.2396,9.8433
reasoner,0.0329,3.0127,0.0861,2.2954,0.1031,0.0238,2.1218,,1.8014,,0.0258,9.5311,9.1719
e8a_a0p,0.0331,3.009,0.0843,2.2711,0.1046,0.0237,2.0528,0.0242,1.7527,,0.0254,9.4036,9.2117
e8a_a1,0.0303,2.7285,0.0842,2.2692,0.0625,0.0326,13.4581,0.0321,1.7462,,0.0243,20.4776,20.146
