system,context_only,common_denominator_acc,vocab_supported_acc,warm_median_ms,across_pass_spread_ms,cold_ms_mean,load_s_mean,qps,cached_image_q_side_ms,cached_feature_ms,peak_alloc_mib,peak_reserved_mib,cpu_vmhwm_mib,trainable,total_loaded
question_only,True,0.38864,0.50402,1.9603,0.0133,75.5,2.08,510.1,,0.0235,623.2,690.0,2088.4,313956,151591269
concat,False,0.44462,0.57661,7.6104,0.9044,117.1,2.02,131.4,1.9133,0.0271,764.1,852.0,2088.3,576100,151853413
fusion,False,0.45062,0.58439,7.6351,0.8903,122.4,2.04,131.0,1.9499,0.042,766.1,852.0,2088.3,1100388,152377701
vocab1000_product,False,0.4905,0.49954,7.6708,0.0966,120.6,2.06,130.4,1.9313,0.0356,766.9,852.0,2088.8,1299944,152577257
siglip_fusion,False,0.45792,0.59386,9.8433,0.077,127.7,3.22,101.6,2.2798,0.0482,1293.7,1510.0,2487.9,1624676,204780646
reasoner,False,0.45602,0.59139,9.1719,0.9211,117.5,2.16,109.0,3.367,1.3577,842.6,950.0,2089.7,21099620,172376933
e8a_a0p,False,0.45852,0.59463,9.2117,0.1367,119.5,2.19,108.6,3.3289,1.3279,843.6,952.0,2089.5,21362276,172639589
e8a_a1,False,0.44332,0.57493,20.146,1.3302,237.9,2.8,49.6,13.6346,1.4354,1108.3,1176.0,2089.1,21395044,307187365
