model,normal_mean,normal_std,shuffled_mean,shuffled_std,zeroed_mean,zeroed_std,drop_shuffled_mean,drop_shuffled_std,drop_zeroed_mean,drop_zeroed_std
question_only,0.45797,0.0029,0.45797,0.0029,0.45797,0.0029,0.0,0.0,0.0,0.0
image_only,0.23438,0.00033,0.21076,0.01012,0.22588,0.00272,0.02362,0.01023,0.0085,0.00274
concat,0.52398,0.00276,0.4069,0.00329,0.42411,0.0028,0.11708,0.0049,0.09987,0.004
fusion,0.5384,0.00218,0.3957,0.00258,0.4196,0.00487,0.1427,0.00239,0.1188,0.00515
product_576k,0.53355,0.00312,0.40539,0.002,0.42113,0.00302,0.12816,0.00329,0.11242,0.00454
